Title,OptionA,OptionB,OptionC,OptionD,Category,WeekStart
"If a turtle loses its shell, is it...","Homeless","Naked","","","Fun","2026-09-14"
"Tea or coffee?","Tea","Coffee","Both","Neither","Food & Drink","2026-09-21"
"Pineapple on pizza?","Yes","No","","","Food & Drink","2026-09-28"
"Which season is the best?","Spring","Summer","Autumn","Winter","Fun","2026-10-05"
"Do you wear socks to bed?","Yes","No","","","Fun","2026-10-12"
"Dogs or cats?","Dogs","Cats","Both!","Neither","Fun","2026-10-19"
"How many holes does a straw have?","0","1","2","","Fun","2026-10-26"
"Morning person or night owl?","Morning person","Night owl","Depends on the day","","Work Life","2026-11-02"
"Are washer and dryer...","Siblings","Coworkers","Dating","","Fun","2026-11-09"
"Remote work or office work?","Remote","Office","Hybrid","No preference","Work Life","2026-11-16"
"Who's your Spider-Man?","Tobey","Andrew","Tom","","Entertainment","2026-11-23"
"Which would you rather give up for life?","Cheese","Bread","","","Food & Drink","2026-11-30"
"Dark mode or light mode?","Dark mode","Light mode","Depends on the app","","Technology","2026-12-07"
"Would you rather live 50 years in the past or 50 years in the future?","Future","Past","","","Hypothetical","2026-12-14"
"Flat pizza or calzone?","Flat pizza","Calzone","","","Food & Drink","2026-12-21"
"Sweet or savoury snacks?","Sweet","Savoury","Both equally","I don't snack","Food & Drink","2026-12-28"
"Excel or Google Sheets?","Excel","Google Sheets","Both are fine","Neither — give me Python","Technology","2027-01-04"
"iPhone or Android?","iPhone","Android","No preference","","Technology","2027-01-11"
"What's the best ice cream flavour?","Vanilla","Chocolate","Strawberry","Something adventurous","Food & Drink","2027-01-18"
